,Country Name,Constant Dollar Amount
0,World,38259885386
1,Ukraine,34064445961
2,Jordan,11689687332
3,Afghanistan,10631997299
4,Syria,7670856994
5,South Sudan,4825788161
6,Ethiopia,4640306059
7,Somalia,4446353594
8,Nigeria,4347299167
9,Congo (Kinshasa),4233354494
10,Iraq,3458784560
11,Colombia,3221424837
12,Yemen,3143363699
13,Pakistan,3136982524
14,West Bank and Gaza,2734537253
15,Sudan,2694517129
16,Kenya,2622471459
17,Bangladesh,2370815944
18,Uganda,2325627309
19,Haiti,2216238576
20,Lebanon,2033973900
21,Mozambique,1914356196
22,Egypt,1847564321
23,Liberia,1790458842
24,Sub-Saharan Africa Region,1727482250
25,Burma (Myanmar),1592444833
26,Guatemala,1516862684
27,Mali,1439944399
28,Tanzania,1397458601
29,Malawi,1332910626
30,Honduras,1312019482
31,Philippines,1293232855
32,West Africa Region,1264508868
33,Nepal,1192604074
34,Indonesia,1080787638
35,Ghana,1076475099
36,Peru,1061226001
37,Venezuela,1042023252
38,Niger,1011982593
39,El Salvador,998372931
40,Senegal,970634672
41,Vietnam,961408557
42,Zimbabwe,958985671
43,Zambia,949590888
44,Rwanda,877693199
45,India,792638406
46,Central African Republic,784107825
47,South Africa,704557193
48,Georgia,704212823
49,Burkina Faso,673581125
50,Moldova,662608474
51,Mexico,623905962
52,Tunisia,601383114
53,Cambodia,599309900
54,Latin America and Caribbean Region,548626220
55,Madagascar,542499469
56,Libya,541304215
57,Sri Lanka,533327593
58,Eastern Africa Region,501226250
59,Chad,490290947
60,Eastern Europe Region,481383869
61,Eastern Asia Region,474967745
62,Central America Region,430491996
63,Bosnia and Herzegovina,426847182
64,Kosovo,410590369
65,Southern Africa Region,387197811
66,Eurasia Region,375031510
67,Guinea,370639318
68,Armenia,360760872
69,Cameroon,358140749
70,Kyrgyzstan,350438822
71,Ecuador,347375488
72,Dominican Republic,342415409
73,Sierra Leone,321289941
74,Morocco,316956944
75,Tajikistan,309695625
76,Caribbean Region,282093969
77,Serbia,280216130
78,Nicaragua,251774111
79,Asia Region,250787919
80,Middle East and North Africa Region,243954050
81,Brazil,243656073
82,Laos,224801428
83,Cote d'Ivoire,223125205
84,Timor-Leste,222322875
85,Jamaica,194252167
86,Uzbekistan,188311189
87,North Macedonia,188148015
88,Burundi,168041221
89,Turkey,157315674
90,Papua New Guinea,151457031
91,Belarus,150346316
92,Angola,148621383
93,Azerbaijan,145224828
94,Djibouti,133607016
95,"Micronesia, Federated States of",130730922
96,Oceania Region,126368489
97,China (P.R.C.),119848119
98,Kazakhstan,111544007
99,Thailand,109841226
100,Paraguay,105647696
101,Mauritania,102992701
102,Albania,102516892
103,South America Region,92297805
104,Cuba,76685423
105,Benin,74083054
106,Middle East Region,63994261
107,Mongolia,63423543
108,Namibia,52680807
109,Costa Rica,48590284
110,Eswatini,42584387
111,Lesotho,41573435
112,Congo (Brazzaville),38860668
113,Israel,36536621
114,Turkmenistan,31839936
115,Italy,29829054
116,Gambia,28986222
117,Bahamas,26751713
118,Southern Asia Region,22897363
119,Germany,22320226
120,Malaysia,21868930
121,Botswana,21448585
122,Bolivia,21354363
123,Sudan (former),21278038
124,Hungary,21167575
125,Algeria,18262627
126,Fiji,17445525
127,Ireland,16870715
128,Vanuatu,15610511
129,Togo,15163596
130,Marshall Islands,13194233
131,Maldives,13034781
132,Dominica,12657229
133,Solomon Islands,11524806
134,St. Vincent and Grenadines,6171402
135,Tonga,5762378
136,Palau,5697236
137,Comoros,5371117
138,Greece,5295755
139,Chile,5219915
140,Panama,5160861
141,Equatorial Guinea,5148647
142,Bulgaria,5108712
143,"Korea, Republic of",3655235
144,Japan,3242428
145,Europe Region,3121574
146,Cabo Verde,2433617
147,Gabon,2279512
148,Romania,2252925
149,Taiwan,2094656
150,Montenegro,2063864
151,Trinidad and Tobago,1604375
152,"Kiribati, Republic of",1531068
153,Guyana,1230976
154,"Korea, Democratic Republic of",1201796
155,Bhutan,1017355
156,United Arab Emirates,953380
157,Malta,784310
158,Samoa,766011
159,Guinea-Bissau,730476
160,Grenada,697710
161,Uruguay,621506
162,Czechia,545678
163,Slovak Republic,531589
164,Slovenia,358257
165,St. Kitts and Nevis,316083
166,Russia,200382
167,Saudi Arabia,180159
168,Antigua and Barbuda,125606
169,Canada,124844
170,Barbados,98928
171,Tuvalu,62291
172,Bahrain,14647
173,Europe and Eurasia Region,9351
174,Oman,8756
175,Belize,5410
176,Brunei,1859
177,Anguilla,1576
178,Iran,-1198
179,Latvia,-5907
180,Lithuania,-11769
181,Eritrea,-17240
182,Sao Tome and Principe,-35084
183,Mauritius,-56503
184,Seychelles,-89663
185,Croatia,-317568
186,Poland,-333053
187,Cyprus,-353453
188,New Zealand,-463766
189,Central and Eastern Europe Region,-683779
