Country Name,Funding 2015 (M),Funding 2024 (M),Rank 2014,Rank 2024
Ukraine,122.254314,5873.963395,29,1
Jordan,1061.07348,1268.583821,2,2
West Bank and Gaza,439.456713,893.732815,6,3
Afghanistan,1903.604891,708.518931,1,4
Congo (Kinshasa),200.27922,623.630221,12,5
Ethiopia,186.533442,562.865381,15,6
Syria,828.641963,498.466169,4,7
Sudan,128.06147,449.019047,27,8
Nigeria,169.314389,432.781772,21,9
Yemen,113.72266,390.754106,30,10
Somalia,154.496687,364.090222,25,11
Kenya,207.142886,354.153842,11,12
South Sudan,367.580578,336.389792,8,13
Mozambique,82.969126,334.261405,39,14
Bangladesh,180.324609,299.695028,17,15
Haiti,419.146437,283.016301,7,16
Uganda,167.980737,282.217256,22,17
Sub-Saharan Africa Region,164.457363,260.363875,24,18
Colombia,197.102388,243.024422,13,19
Zambia,73.558583,219.314987,42,20
Lebanon,105.5314,213.77471,33,21
Egypt,239.017009,207.584538,9,22
Burma (Myanmar),94.010789,198.321684,37,23
Venezuela,5.184303,193.33944,91,24
Burkina Faso,1.956524,178.667551,109,25
Guatemala,104.254728,166.660574,34,26
Niger,31.547582,164.715149,62,27
Mali,110.196612,159.95067,31,28
Tanzania,102.626717,155.001787,35,29
Chad,18.132402,144.999864,76,30
Moldova,21.734352,143.854938,73,31
Honduras,102.175883,143.291593,36,32
Zimbabwe,53.859166,136.017397,49,33
Malawi,109.373862,133.112978,32,34
Iraq,182.937313,132.227189,16,35
El Salvador,62.587583,129.875938,45,36
Senegal,74.646841,127.707078,41,37
Nepal,187.428563,121.869404,14,38
Liberia,839.080763,112.773573,3,39
West Africa Region,179.751985,111.150202,18,40
Philippines,123.161823,107.862647,28,41
Georgia,50.427117,106.697461,52,42
Vietnam,62.245752,98.056981,46,43
Pakistan,756.604917,97.291637,5,44
Ghana,179.722734,97.025888,19,45
Peru,84.63828,96.727082,38,46
Madagascar,15.065517,92.011443,81,47
Eastern Europe Region,24.606185,84.309349,68,48
Ecuador,2.354803,83.984716,108,49
India,44.630753,80.092281,54,50
