Fiscal Year,Afghanistan,Burma (Myanmar),Ethiopia,Sudan,Syria,Ukraine,West Bank and Gaza,Yemen
2015,1903604891,94010789,186533442,128061470,828641963,122254314,439456713,113722660
2016,1268867176,182312030,243529186,124262675,852119414,153808487,396918291,162708699
2017,1192987745,102676486,402758130,182109457,799733307,213773509,349299631,411171626
2018,872425891,144554902,292227770,142063046,778496622,204581970,29253432,406711883
2019,1157122915,168941862,340456888,220382429,668009788,194302821,27211447,339192965
2020,1156859922,165014874,617782077,304582055,791771756,260008618,21181313,275239819
2021,613443606,164284835,477284803,340609785,847138171,257754849,136818653,272742276
2022,937651757,178202479,922546200,429711118,861863750,10382236738,158208795,442113148
2023,820514465,194124892,594322182,373716047,744616054,16401761260,282456163,329006517
2024,708518931,198321684,562865381,449019047,498466169,5873963395,893732815,390754106
